file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\BOSCHLTD_minute.csv,1716709.3811352581
D:\\FINANCE PROJECTS\\DATASETS\\archive\BPCL_minute.csv,6086175.339209566
D:\\FINANCE PROJECTS\\DATASETS\\archive\BRIGADE_minute.csv,1687466277115595.5
D:\\FINANCE PROJECTS\\DATASETS\\archive\BRITANNIA_minute.csv,3338929.6462121177
D:\\FINANCE PROJECTS\\DATASETS\\archive\BSE_minute.csv,8303938.636125798
D:\\FINANCE PROJECTS\\DATASETS\\archive\BSOFT_minute.csv,1712359.258425878
D:\\FINANCE PROJECTS\\DATASETS\\archive\CAMPUS_minute.csv,988500.2682758209
D:\\FINANCE PROJECTS\\DATASETS\\archive\CAMS_minute.csv,2460607.744158039
D:\\FINANCE PROJECTS\\DATASETS\\archive\CANBK_minute.csv,5211984.235891039
D:\\FINANCE PROJECTS\\DATASETS\\archive\CANFINHOME_minute.csv,992644.1358860664
D:\\FINANCE PROJECTS\\DATASETS\\archive\CAPLIPOINT_minute.csv,354668.260423044
D:\\FINANCE PROJECTS\\DATASETS\\archive\CARBORUNIV_minute.csv,312737.2629396113
D:\\FINANCE PROJECTS\\DATASETS\\archive\CASTROLIND_minute.csv,1072123.3069962475
D:\\FINANCE PROJECTS\\DATASETS\\archive\CCL_minute.csv,342575.0193634403
D:\\FINANCE PROJECTS\\DATASETS\\archive\CDSL_minute.csv,4454807.0581146255
D:\\FINANCE PROJECTS\\DATASETS\\archive\CEATLTD_minute.csv,1601412.0650851764
D:\\FINANCE PROJECTS\\DATASETS\\archive\CENTRALBK_minute.csv,770184.7500706897
D:\\FINANCE PROJECTS\\DATASETS\\archive\CENTURYPLY_minute.csv,268004.3627109092
D:\\FINANCE PROJECTS\\DATASETS\\archive\CERA_minute.csv,222416.36445724216
D:\\FINANCE PROJECTS\\DATASETS\\archive\CESC_minute.csv,1160326.8749015587
D:\\FINANCE PROJECTS\\DATASETS\\archive\CGCL_minute.csv,369609.27422758116
D:\\FINANCE PROJECTS\\DATASETS\\archive\CGPOWER_minute.csv,1874751.4829552341
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHALET_minute.csv,394109.37935580284
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHAMBLFERT_minute.csv,1202991.6861767718
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHENNPETRO_minute.csv,1392407.590532221
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHOICEIN_minute.csv,611968.8593240593
D:\\FINANCE PROJECTS\\DATASETS\\archive\CHOLAFIN_minute.csv,3064575.3342873035
